region,season,map code,DS to VS,DS to CSS,DS to LSS,DS cluster size,VS cluster size,CSS cluster size,LSS cluster size
aunz,2020,51.0,3.6267465177880474,1.5465574184266235,2.785152244261541,1.0,1.0,1.0,6.0
aunz,2021,52.0,2.7243234119539075,0.7340509105112568,0.5406350661533642,1.0,3.0,1.0,3.0
aunz,2021,53.0,3.168871678319274,3.7102146594624017,3.57590692203101,2.0,2.0,1.0,3.0
aunz,2021,54.0,4.043724017445124,3.9936290998158626,3.806364198048647,2.0,2.0,1.0,3.0
aunz,2021,55.0,2.7448379222053454,2.9110022355952783,2.953484522443995,2.0,7.0,1.0,5.0
aunz,2022,56.0,1.5318584594597233,2.3901552795192913,0.4543677781596217,20.0,3.0,1.0,2.0
aunz,2022,57.0,1.5895397900337422,2.1273211367187543,0.7690296853045713,24.0,3.0,1.0,2.0
aunz,2022,58.0,1.4085772655619804,0.8754642067444136,0.25146896877293967,36.0,3.0,2.0,2.0
aunz,2023,60.0,2.8324951113379475,5.202221858042646,3.82157405335434,4.0,2.0,1.0,3.0
aunz,2023,61.0,1.524118865879577,3.040840492122705,0.5853531465530009,3.0,2.0,1.0,2.0
aunz,2023,62.0,1.7055099143597636,2.1848830472749112,0.5754644069055641,3.0,2.0,1.0,2.0
europe,2002-2003,1.0,4.954323761582455,5.391296205681127,5.391296205681127,2.0,1.0,2.0,2.0
europe,2002-2003,2.0,4.8398499711124146,4.795022320182651,4.795022320182651,2.0,1.0,2.0,2.0
europe,2002-2003,3.0,5.3417620102474705,5.1523703158635294,5.1523703158635294,2.0,1.0,1.0,1.0
europe,2003-2004,1.0,4.954323761582455,0.0,0.0,2.0,1.0,2.0,2.0
europe,2003-2004,2.0,4.8398499711124146,0.0,0.0,2.0,1.0,2.0,2.0
europe,2003-2004,3.0,5.3417620102474705,0.0,0.0,2.0,1.0,2.0,2.0
europe,2003-2004,63.0,5.1473964913338515,0.6359683949728512,0.6359683949728512,3.0,1.0,2.0,2.0
europe,2003-2004,64.0,5.015254876889937,0.954816780832757,0.954816780832757,2.0,1.0,1.0,1.0
europe,2004-2005,,,,,,,,
europe,2005-2006,,,,,,,,
europe,2006-2007,65.0,2.8603123772257955,0.0,1.482000218146436,2.0,1.0,2.0,1.0
europe,2006-2007,66.0,3.823188543641543,0.0,1.1696198823651571,1.0,1.0,1.0,1.0
europe,2007-2008,67.0,3.9509624363408604,1.8406804024205214,0.0,2.0,2.0,3.0,2.0
europe,2007-2008,68.0,4.681973724212057,2.8956549816606354,0.0,3.0,2.0,3.0,3.0
europe,2007-2008,69.0,3.4401053294720314,2.411264998758873,0.0,5.0,2.0,1.0,5.0
europe,2007-2008,70.0,3.6931808920368883,1.7831958888382864,0.0,7.0,3.0,3.0,7.0
europe,2008-2009,11.0,2.5152592105170952,0.0,0.0,1.0,1.0,1.0,1.0
europe,2008-2009,73.0,1.1199016309386758,0.0,0.0,13.0,1.0,13.0,13.0
europe,2009-2010,,,,,,,,
europe,2010-2011,,,,,,,,
europe,2011-2012,74.0,3.4633061416916133,2.1712940445042133,2.1712940445042133,1.0,1.0,7.0,7.0
europe,2011-2012,75.0,2.33785091985076,1.3324262617003113,1.3324262617003113,1.0,1.0,7.0,7.0
europe,2011-2012,76.0,4.06333606757127,4.3265599294197274,4.3265599294197274,1.0,1.0,4.0,4.0
europe,2011-2012,77.0,2.3097023406996864,0.7663795572760183,0.7663795572760183,1.0,1.0,6.0,6.0
europe,2011-2012,78.0,3.8658344330579406,3.8575067621218446,3.8575067621218446,1.0,1.0,10.0,10.0
europe,2012-2013,79.0,1.5294799067036753,1.3137986971608855,1.3137986971608855,3.0,2.0,10.0,10.0
europe,2012-2013,80.0,3.0507232970066593,3.824442394478843,3.824442394478843,3.0,1.0,4.0,4.0
